from,to,weight,type
bl38,bl37,2,link
bl37,bl36,2,link
bl36,bl35,2,link
bl35,bl34,2,link
bl34,bl33,2,link
bl34,gs12,2,connection
bl33,bl1,2,link
bl1,bl1a,2,connection
bl1,bl32,2,link
bl32,bl31,2,link
bl31,bl30,2,link
bl30,bl29,2,link
bl29,bl28,2,link
bl28,bl27,2,link
bl27,bl26,2,link
bl26,bl25,2,link
bl26,gs2,2,connection
bl25,bl24,2,link
bl24,bl23,2,link
bl23,bl22,2,link
bl22,bl21,2,link
bl21,bl20,2,link
bl20,bl19,2,link
bl19,bl18,2,link
bl18,bl17,2,link
bl17,bl16,2,link
bl16,bl15,2,link
bl15,bl14,2,link
bl14,bl13,2,link
bl13,bl12,2,link
bl12,bl11,2,link
bl11,bl10,2,link
bl10,bl9,2,link
bl9,bl8,2,link
bl8,bl7,2,link
bl7,bl6,2,link
bl6,bl5,2,link
bl5,bl4,2,link
bl4,bl3,2,link
bl3,bl2,2,link
bl2,bl1a,2,link
gs12,gs11,2,link
gs11,gs10,2,link
gs10,gs9,2,link
gs9,gs8,2,link
gs8,gs7,2,link
gs7,gs6,2,link
gs6,gs5,2,link
gs5,gs4,2,link
gs4,gs3,2,link
gs3,gs2,2,link
gs2,gs1,2,link
gs1,cta,2,link
cta,ctb,2,connection
cta,gw1,2,link
gs7,gd1,2,connection
gd1,gd2,2,link
gd2,gd3,2,link
gs10,brt1,2,connection
gs3,brtn,2,connection
bl22,ge4,2,connection
bl21,arl3,2,connection
bl15,yl1,2,connection
bl14,gn9,2,connection
bl13,gn8,2,connection
bl11,central,2,connection
bl11,rdn1,2,connection
bl11,rdw1,2,connection
bl10,pp16,2,connection
bl9,bn22,2,connection
bl31,bn7,2,connection
gs6,bcen,2,connection
gd2,bicon,2,connection
ctb,gn1,2,link
gn1,bsanx,2,connection
gn1,gn2,2,link
gn2,arl1,2,connection
gn2,gn3,2,link
gn3,gn4,2,link
gn4,gn5,2,link
gn5,gn7,2,link
gn7,gn8,2,link
gn8,gn9,2,link
gn9,gn10,2,link
gn10,gn11,2,link
gn11,gn12,2,link
gn12,gn13,2,link
gn13,gn14,2,link
gn14,gn15,2,link
gn15,gn16,2,link
gn16,gn17,2,link
gn17,pk16,2,connection
gn17,gn18,2,link
gn18,gn19,2,link
gn19,gn20,2,link
gn20,gn21,2,link
gn21,gn22,2,link
gn22,gn23,2,link
gn23,gn24,2,link
rdn1,rdn2,2,link
rdn2,rdn3,2,link
rdn3,rdn4,2,link
rdn4,rdn5,2,link
rdn5,rdn6,2,link
rdn6,pk14,2,connection
rdn6,rdn7,2,link
rdn7,rdn8,2,link
rdn8,rdn9,2,link
rdn8,dmk,2,connection
rdn9,rdn10,2,link
rdw1,rdw2,2,link
rdw2,pp15,2,connection
rdw2,rdw3,2,link
rdw3,rdw4,2,link
pp16,pp15,2,link
pp15,pp14,2,link
pp14,pp13,2,link
pp13,pp12,2,link
pp12,pp11,2,link
pp11,pk1,2,connection
pp11,pp10,2,link
pp10,pp9,2,link
pp9,pp8,2,link
pp8,pp7,2,link
pp8,bbrd,2,connection
pp7,pp6,2,link
pp6,pp5,2,link
pp5,pp4,2,link
pp4,pp3,2,link
pp3,pp2,2,link
pp2,pp1,2,link
pk1,pk2,2,link
pk2,pk3,2,link
pk3,pk4,2,link
pk4,pk5,2,link
pk5,pk6,2,link
pk6,pk7,2,link
pk7,pk8,2,link
pk8,pk9,2,link
pk9,pk10,2,link
pk10,pk11,2,link
pk11,pk12,2,link
pk12,pk13,2,link
pk13,pk14,2,link
pk14,pk15,2,link
pk15,pk16,2,link
pk16,pk17,2,link
pk17,pk18,2,link
pk18,pk19,2,link
pk19,pk20,2,link
pk20,pk21,2,link
pk21,pk22,2,link
pk22,pk23,2,link
pk23,pk24,2,link
pk24,pk25,2,link
pk25,pk26,2,link
pk26,pk27,2,link
pk27,pk28,2,link
pk28,pk29,2,link
pk29,pk30,2,link
yl1,yl2,2,link
yl2,yl3,2,link
yl3,yl4,2,link
yl4,yl5,2,link
yl5,yl6,2,link
yl6,yl7,2,link
yl7,yl8,2,link
yl8,yl9,2,link
yl9,yl10,2,link
yl10,yl11,2,link
yl11,arl5,2,connection
yl11,yl12,2,link
yl12,yl13,2,link
yl13,yl14,2,link
yl14,yl15,2,link
yl15,yl16,2,link
yl16,yl17,2,link
yl17,yl18,2,link
yl18,yl19,2,link
yl19,yl20,2,link
yl20,yl21,2,link
yl21,yl22,2,link
yl22,yl23,2,link
yl23,ge15,2,connection
arl1,arl2,2,link
arl2,arl3,2,link
arl3,arl4,2,link
arl4,arl5,2,link
arl5,arl6,2,link
arl6,arl7,2,link
arl7,arl8,2,link
arl8,bkk,2,connection
ctb,ge1,2,link
ge1,ge2,2,link
ge2,ge3,2,link
ge3,ge4,2,link
ge4,ge5,2,link
ge5,ge6,2,link
ge6,ge7,2,link
ge7,ge8,2,link
ge8,ge9,2,link
ge9,ge10,2,link
ge10,ge11,2,link
ge11,ge12,2,link
ge12,ge13,2,link
ge13,ge14,2,link
ge14,ge15,2,link
ge15,ge16,2,link
ge16,ge17,2,link
ge17,ge18,2,link
ge18,ge19,2,link
ge19,ge20,2,link
ge20,ge21,2,link
ge21,ge22,2,link
ge22,ge23,2,link
